170,"Jawaharlal Nehru Stadium, Delhi - DPCC",74,28.580280,77.233826
171,"Jayanagar 5th Block, Bengaluru - KSPCB",35,12.920984,77.584908
172,"Jhalamand, Jodhpur - RSPCB",114,26.215414,73.070152
173,"Jhunsi, Prayagraj - UPPCB",185,25.425602,81.917152
174,"Jigani, Bengaluru - KSPCB",35,12.781628,77.629913
175,"Jigar Colony, Moradabad - UPPCB",155,28.856665,78.772636
176,"Kadri, Mangalore - KSPCB",150,12.889250,74.852997
177,"Kalabhavan, Dharwad - KSPCB",77,15.459706,75.008385
178,"Kalal Majra, Khanna - PPCB",129,NULL,76.209694
179,"Kalidaspur, Balasore - OSPCB",24,21.511610,86.890877
180,"Kalindi Kunj, Khurja - UPPCB",130,28.234892,77.868301
181,"Kalyana Nagara, Chikkamagaluru - KSPCB",63,13.328028,75.797058
182,"Kamadenu Nagar, Karur - TNPCB",123,10.967820,78.080879
183,"Kamalnath Nagar, Bettiah - BSPCB",36,26.803650,84.519539
184,"Kamble Tarf Birwadi, Mahad - MPCB",145,18.102341,73.478371
185,"Kandivali East, Mumbai - MPCB",157,19.205799,72.868202
186,"Kandivali West, Mumbai - BMC",157,19.215858,72.831718
187,"Kareemganj, Gaya - BSPCB",87,24.792402,84.992416
188,"Kariavattom, Thiruvananthapuram - Kerala PCB",228,8.563700,76.886497
189,"Karni Colony, Nagaur - RSPCB",164,27.213493,73.734444
190,"Kasarvadavali, Thane - MPCB",226,19.267771,72.971817
191,"Kashiram Nagar, Moradabad - UPPCB",155,28.849400,78.742363
192,"Kasturi Nagar, Bengaluru - KSPCB",35,13.003872,77.664215
193,"Katraj Dairy, Pune - MPCB",188,18.454451,73.854156
194,"Katrap, Badlapur - MPCB",21,19.164850,73.234093
195,"Keelapalur, Ariyalur - TNPCB",15,11.068250,79.070328
196,"Kendriya Vidyalaya, Lucknow - CPCB",141,26.906111,80.948219
197,"Khadakpada, Kalyan - MPCB",118,19.252920,73.142021
198,"Khaira, Boisar - MPCB",49,19.786089,72.757973
199,"Kharahiya Basti, Araria - BSPCB",14,26.146528,87.454185
200,"Khatikan Mohalla, Dausa - RSPCB",71,26.895552,76.334755
201,"KHB Colony, Karwar - KSPCB",124,14.816666,74.141006
202,"Kherwadi_Bandra East, Mumbai - MPCB",157,19.063213,72.845634
203,"Khindipada-Bhandup West, Mumbai - IITM",157,19.165333,72.922096
204,"Kilambi, Kanchipuram - TNPCB",119,12.864618,79.659966
205,"Knowledge Park - III, Greater Noida - UPPCB",90,28.472719,77.482002
206,"Knowledge Park - V, Greater Noida - UPPCB",90,28.557055,77.453667
207,"Kodungaiyur, Chennai - TNPCB",59,13.127800,80.264198
208,"Kompally Municipal Office, Hyderabad - TSPCB",102,17.544899,78.486946
209,"Krishak Nagar, Raipur - CECB",190,21.237755,81.705299
210,"Krishna Nagar, Bharatpur - RSPCB",38,27.215414,77.508728
211,"Kudikadu, Cuddalore - TNPCB",68,11.682990,79.753212
212,"Kukrail Picnic Spot-1, Lucknow - UPPCB",141,26.907230,80.985786
213,"Kumaran College, Tirupur - TNPCB",235,11.097361,77.322868
214,"Kurla, Mumbai - MPCB",157,19.086300,72.888802
215,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",117,17.321993,76.822624
216,"Lalbagh, Lucknow - CPCB",141,26.845881,80.936554
217,"LGBI Airport, Guwahati - PCBA",93,26.108870,91.589546
218,"Lingaraj Nagar, Hubballi - KSPCB",101,15.371482,75.116020
219,"Lingraj Mandir, Bhubaneswar - OSPCB",44,20.240789,85.836784
220,"Lodhi Road, Delhi - IITM",74,28.588333,77.221664
221,"Lohiyanagar, Begusarai - BSPCB",33,25.427420,86.138863
222,"Loni, Ghaziabad - UPPCB",88,28.757294,77.278793
223,"Lumpyngngad, Shillong - Meghalaya PCB",210,25.558599,91.898499
224,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",89,26.730137,83.433861
225,"Maguda Nagar, Indore - IMC",103,22.752399,75.887199
226,"Mahabir Colliery, Asansol - WBPCB",17,23.618183,87.105721
227,"Mahal, Nagpur - MPCB",165,21.144720,79.107597
228,"Mahape, Navi Mumbai - MPCB",171,19.113504,73.008980
229,"Maharaj Bada, Gwalior - MPPCB",94,26.200388,78.147713
230,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",117,17.336317,76.847397
231,"Mahesh Nagar, Malegaon - MPCB",147,20.555712,74.529236
232,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",82,23.567923,87.306847
233,"Major Dhyan Chand National Stadium, Delhi - DPCC",74,28.611280,77.237740
